Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_Name,Wesleyan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_ID,rsc:3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2020-07-01; End_Date=2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created,2022-11-18T21:28:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created_By,MPS for RSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
Energy & Environmental Science,Royal Society of Chemistry,,pubs.rsc.org,10.1039/17545706/2008,rsc:EE,1754-5692,1754-5706,https://www.rsc.org/Publishing/Journals/EE/Index.asp,Total_Item_Requests,29,0,0,2,0,0,2,2,2,5,3,3,2,0,0,1,0,0,0,0,2,0,4,0,1
Energy & Environmental Science,Royal Society of Chemistry,,pubs.rsc.org,10.1039/17545706/2008,rsc:EE,1754-5692,1754-5706,https://www.rsc.org/Publishing/Journals/EE/Index.asp,Unique_Item_Requests,26,0,0,2,0,0,2,2,2,5,1,2,2,0,0,1,0,0,0,0,2,0,4,0,1
Environmental Science: Nano,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20518161/2014,rsc:EN,2051-8153,2051-8161,https://www.rsc.org/Publishing/Journals/EN/Index.asp,Total_Item_Requests,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Environmental Science: Nano,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20518161/2014,rsc:EN,2051-8153,2051-8161,https://www.rsc.org/Publishing/Journals/EN/Index.asp,Unique_Item_Requests,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Environmental Science: Processes & Impacts,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507895/2013,rsc:EM,2050-7887,2050-7895,https://www.rsc.org/Publishing/Journals/EM/Index.asp,Total_Item_Requests,7,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Environmental Science: Processes & Impacts,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507895/2013,rsc:EM,2050-7887,2050-7895,https://www.rsc.org/Publishing/Journals/EM/Index.asp,Unique_Item_Requests,5,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faraday Discussions,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645498/1991,rsc:FD,1359-6640,1364-5498,https://www.rsc.org/Publishing/Journals/FD/Index.asp,Total_Item_Requests,56,2,2,0,1,2,2,5,1,2,0,0,5,1,2,3,1,12,4,0,6,3,2,0,0
Faraday Discussions,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645498/1991,rsc:FD,1359-6640,1364-5498,https://www.rsc.org/Publishing/Journals/FD/Index.asp,Unique_Item_Requests,41,1,1,0,1,2,2,2,1,2,0,0,4,1,1,3,1,8,3,0,5,2,1,0,0
Food & Function,Royal Society of Chemistry,,pubs.rsc.org,10.1039/2042650X/2010,rsc:FO,2042-6496,2042-650X,https://www.rsc.org/Publishing/Journals/FO/Index.asp,Total_Item_Requests,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food & Function,Royal Society of Chemistry,,pubs.rsc.org,10.1039/2042650X/2010,rsc:FO,2042-6496,2042-650X,https://www.rsc.org/Publishing/Journals/FO/Index.asp,Unique_Item_Requests,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Chemistry,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14639270/1999,rsc:GC,1463-9262,1463-9270,https://www.rsc.org/Publishing/Journals/GC/Index.asp,Total_Item_Requests,91,4,2,1,10,5,2,3,2,4,4,5,0,8,1,1,6,6,5,2,8,2,6,2,2
Green Chemistry,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14639270/1999,rsc:GC,1463-9262,1463-9270,https://www.rsc.org/Publishing/Journals/GC/Index.asp,Unique_Item_Requests,64,3,2,1,6,4,1,1,2,4,3,3,0,7,1,1,5,3,3,1,4,1,5,1,2
Journal of Analytical Atomic Spectrometry,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645544/1986,rsc:JA,0267-9477,1364-5544,https://www.rsc.org/Publishing/Journals/JA/Index.asp,Total_Item_Requests,18,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,6,3,0,0
Journal of Analytical Atomic Spectrometry,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645544/1986,rsc:JA,0267-9477,1364-5544,https://www.rsc.org/Publishing/Journals/JA/Index.asp,Unique_Item_Requests,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0
